"","category","item","price1","price2","price3","price4"
"1","","Table","Bait","","",""
"2","","Cockle & mussel popcorn","4.95","","",""
"3","","Marinated anchovies","3.95","","",""
"4","","Crispy shrimp, spicy mayo","4.95","","",""
"5","","Sourdough & salted butter","3.95","","",""
"6","","Marinated olives","3.95","","",""
"7","","Smoked haddock arancini","4.95","","",""
