"","category","item","price1","price2","price3","price4"
"1","COFFEE & TEA MENU","Espresso","2.75","","",""
"2","COFFEE & TEA MENU","Double Espresso","4.00","","",""
"3","COFFEE & TEA MENU","Americano","4.00","","",""
"4","COFFEE & TEA MENU","Cappuccino","4.00","","",""
"5","COFFEE & TEA MENU","Latte","4.00","","",""
"6","COFFEE & TEA MENU","Vanilla-coconut Latte","4.00","","",""
"7","COFFEE & TEA MENU","Hot Chocolate","4.00","","",""
"8","<U+F068><U+F066><U+F068><U+F066><U+F068><U+F066><U+F020>","English Breakfast                   <U+F020>","4.00","","",""
"9","<U+F068><U+F066><U+F068><U+F066><U+F068><U+F066><U+F020>","Earl Grey                   <U+F020>","4.00","","",""
"10","<U+F068><U+F066><U+F068><U+F066><U+F068><U+F066><U+F020>","Green Tea","4.00","","",""
"11","<U+F068><U+F066><U+F068><U+F066><U+F068><U+F066><U+F020>","Cranberry & Raspberry","4.00","","",""
"12","<U+F068><U+F066><U+F068><U+F066><U+F068><U+F066><U+F020>","Lemon & Ginger","4.00","","",""
"13","<U+F068><U+F066><U+F068><U+F066><U+F068><U+F066><U+F020>","Camomile","4.00","","",""
"14","<U+F068><U+F066><U+F068><U+F066><U+F068><U+F066><U+F020>","Peppermint","4.00","","",""
"15","<U+F068><U+F066><U+F068><U+F066><U+F068><U+F066><U+F020>","Chai Tea","4.00","","",""
"16","<U+F068><U+F066><U+F068><U+F066><U+F068><U+F066><U+F020>","Darjeeling","4.00","","",""
"17","<U+F068><U+F066><U+F068><U+F066><U+F068><U+F066><U+F020>","• add an extra shot of alcohol (vodka, whiskey, gin, Baileys or Jagermeister) for","4","","",""
