"","category","item","price1","price2","price3","price4"
"1","almond or coconut drink or Bonsoy soya milk for a vegan alternative.","Espresso, Americano, Cortado","2.20","","",""
"2","almond or coconut drink or Bonsoy soya milk for a vegan alternative.","Flat white, latte, cappuccino, mocha, hot chocolate","2.50","","",""
"3","almond or coconut drink or Bonsoy soya milk for a vegan alternative.","Mug of breakfast tea","1.50","","",""
"4","almond or coconut drink or Bonsoy soya milk for a vegan alternative.","Selection of teas","3.00 pot","","",""
"5","Indian Spiced Chai","Chai Tea Latte","2.50","","",""
"6","Indian Spiced Chai","Iced Latte, Americano","2.50","","",""
"7","CSC Cold Drinks","Charitea & Lemonaid","2.00","","",""
"8","CSC Cold Drinks","Chi Coconut water","2.00","","",""
"9","CSC Cold Drinks","Whole Earth Can","1.50","","",""
"10","CSC Cold Drinks","What A Melon Water","2.95","","",""
"11","CSC Cold Drinks","James White Ginger Shots","2.50","","",""
"12","CSC Cold Drinks","Belu Still Mineral Water","1.00","","",""
