"","category","item","price1","price2","price3","price4"
"1","dolcetti","TiramisU | Sponge fingers, mascarpone, Marsala & Amaretto chocolate pots (v) (n)","5.00","","",""
"2","dolcetti","Fondue di Nutella | Strawberries & warm Nutella fondue (v) (n)","5.00","","",""
"3","dolcetti","Zabaglione | Italian egg custard flavoured with Marsala wine, polenta biscuits (v) (n)","4.00","","",""
"4","dolcetti","Torta di PASSIONE | Passion fruit cheesecake (v))","6.50","","",""
"5","dolcetti","Tortino al cioccolato | Warm chocolate fondant & caramel ice cream (v)","6.50","","",""
"6","dolcetti","Panna cotta | Vanilla cream, raspberries, mint & grappa (n)","6.00","","",""
"7","dolcetti","MOusse al cioccolato | Dark chocolate mousse cups, crushed amaretti biscuits (n)","5.00","","",""
"8","gelato e sorbetto","Coppa di cioccolata | Chocolate & vanilla ice cream sundae,","4.00","","",""
"9","toasted crushed hazelnuts (v) (n)","Affogato | Amaretto, espresso & vanilla ice cream (v) (n)","4.00","","",""
"10","toasted crushed hazelnuts (v) (n)","Sorbetto al frutto della passione | Passion fruit sorbet, strawberries,","4.00","","",""
"11","cioccolatini","","3.50","","",""
"12","formaggi","","4.00","","",""
